--------------------------------------------------------------------------------
TIMESTAMP: 05:34:50.279 PM 28-Jun-2022
PARAMS:
  population 0
  wiggle-angle 45
  look-ahead 1
  sniff-threshold 0.9
  sniff-angle 45
  chemical-drop 3
  diffuse-share 1
  evaporation-rate 0.95
  cluster-threshold 25
  cluster-radius 10
  learning-turtles 50
  ticks-per-episode 500
  episodes 1500
  learning-rate 0.1
  discount-factor 0.9
  reward 100
  penalty -1
  e-greedy 0.5 0.9
ACTION SPACE: move-toward-chemical random-walk move-and-drop walk-and-drop drop-chemical
OBSERVATION SPACE: chemical-here in-cluster
REWARD: rewardFunc8
--------------------------------------------------------------------------------
Episode, Tick, Avg cluster size X tick, Avg reward X episode, move-toward-chemical, random-walk, move-and-drop, walk-and-drop, drop-chemical
29, 14299, 27.58823529411765, 0, 3945, 2131, 3409, 1746, 3769
29, 14399, 28, 0, 5242, 2845, 4706, 2209, 4998
29, 14499, 29, 0, 6455, 3634, 6015, 2688, 6208
30, 14599, 0, 0, 1470, 596, 1462, 390, 1082
30, 14699, 0, 0, 2724, 1323, 2544, 1044, 2365
30, 14799, 0, 0, 3795, 1979, 3759, 1574, 3893
30, 14899, 27.333333333333332, 0, 4801, 2555, 5046, 2100, 5498
30, 14999, 28.375, 0, 5815, 3094, 6013, 2621, 7457
31, 15099, 0, 0, 1171, 580, 1302, 509, 1438
31, 15199, 0, 0, 2376, 1518, 2543, 1084, 2479
31, 15299, 0, 0, 3415, 2370, 3914, 1603, 3698
31, 15399, 0, 0, 4429, 3163, 5117, 2055, 5236
31, 15499, 0, 0, 5288, 3944, 6501, 2508, 6759
32, 15599, 0, 0, 1387, 640, 1483, 436, 1054
32, 15699, 0, 0, 2512, 1553, 2882, 1043, 2010
32, 15799, 0, 0, 3660, 2399, 4182, 1668, 3091
32, 15899, 26, 0, 4865, 3173, 5463, 2338, 4161
32, 15999, 27, 0, 6015, 3829, 6737, 3054, 5365
33, 16099, 26, 0, 1513, 495, 1437, 667, 888
33, 16199, 30.571428571428573, 0, 2850, 1040, 2558, 1317, 2235
33, 16299, 30.076923076923077, 0, 4228, 1486, 3766, 1559, 3961
33, 16399, 31.413793103448278, 0, 5454, 1923, 4984, 1888, 5751
33, 16499, 30.375, 0, 6824, 2327, 6221, 2093, 7535
34, 16599, 0, 0, 1649, 531, 1432, 715, 673
34, 16699, 0, 0, 3045, 1504, 2427, 1508, 1516
34, 16799, 0, 0, 4531, 2330, 3391, 2280, 2468
34, 16899, 0, 0, 6035, 3087, 4410, 2941, 3527
34, 16999, 0, 0, 7393, 3710, 5310, 3582, 5005
35, 17099, 0, 0, 1607, 534, 1205, 566, 1088
35, 17199, 0, 0, 2878, 1174, 2262, 1492, 2194
35, 17299, 27.095238095238095, 0, 4158, 1714, 3635, 2084, 3409
35, 17399, 31.5, 0, 5657, 2145, 4822, 2361, 5015
35, 17499, 29.285714285714285, 0, 7401, 2482, 6005, 2558, 6554
36, 17599, 0, 0, 1682, 463, 1488, 486, 881
36, 17699, 0, 0, 2975, 1214, 2577, 1237, 1997
36, 17799, 0, 0, 4362, 1831, 3504, 1918, 3385
36, 17899, 0, 0, 5774, 2259, 4541, 2628, 4798
36, 17999, 0, 0, 7215, 2680, 5563, 3177, 6365
37, 18099, 0, 0, 1555, 562, 1155, 499, 1229
37, 18199, 0, 0, 2812, 1305, 2517, 1143, 2223
37, 18299, 0, 0, 4058, 2128, 3819, 1853, 3142
37, 18399, 0, 0, 5243, 2911, 4982, 2657, 4207
37, 18499, 27.8, 0, 6466, 3635, 6103, 3369, 5427
38, 18599, 0, 0, 1480, 638, 1380, 628, 874
38, 18699, 0, 0, 2724, 1553, 2499, 1421, 1803
38, 18799, 30.846153846153847, 0, 3832, 2432, 3741, 2258, 2737
38, 18899, 28, 0, 5031, 3301, 4772, 3088, 3808
38, 18999, 30.333333333333332, 0, 6237, 4159, 5858, 3850, 4896
39, 19099, 27, 0, 1511, 866, 1272, 817, 534
39, 19199, 32.75757575757576, 0, 2755, 1720, 2342, 1562, 1621
39, 19299, 34.61764705882353, 0, 4285, 2211, 3574, 2033, 2897
39, 19399, 36.083333333333336, 0, 5938, 2651, 4776, 2545, 4090
39, 19499, 30.428571428571427, 0, 7637, 3158, 6003, 2939, 5263
40, 19599, 0, 0, 1588, 786, 1415, 694, 517
40, 19699, 0, 0, 2867, 1624, 2957, 1439, 1113
40, 19799, 0, 0, 4099, 2329, 4563, 2317, 1692
40, 19899, 0, 0, 5395, 2997, 6215, 3158, 2235
40, 19999, 0, 0, 6678, 3581, 7800, 4032, 2909
41, 20099, 0, 0, 1501, 517, 1411, 827, 744
41, 20199, 31, 0, 2636, 1150, 2806, 1844, 1564
41, 20299, 0, 0, 3788, 1822, 4267, 2867, 2256
41, 20399, 0, 0, 5019, 2479, 5783, 3742, 2977
41, 20499, 27.5, 0, 6250, 3172, 7108, 4531, 3939
42, 20599, 0, 0, 1484, 659, 1468, 794, 595
42, 20699, 0, 0, 2888, 1288, 2884, 1803, 1137
42, 20799, 0, 0, 4147, 1998, 4538, 2443, 1874
42, 20899, 0, 0, 5310, 2769, 6195, 3148, 2578
42, 20999, 26, 0, 6530, 3424, 7982, 3854, 3210
43, 21099, 0, 0, 1372, 592, 1650, 651, 735
43, 21199, 0, 0, 2584, 1436, 3284, 1186, 1510
43, 21299, 0, 0, 3756, 2327, 4814, 1866, 2237
43, 21399, 27, 0, 4898, 3307, 6270, 2629, 2896
43, 21499, 28.2, 0, 6147, 4109, 7855, 3254, 3635
44, 21599, 0, 0, 1373, 781, 1702, 658, 486
44, 21699, 0, 0, 2526, 1824, 3006, 1543, 1101
44, 21799, 0, 0, 3522, 2816, 4375, 2487, 1800
44, 21899, 0, 0, 4580, 3914, 5901, 3160, 2445
44, 21999, 0, 0, 5710, 4927, 7372, 3889, 3102
45, 22099, 0, 0, 1423, 857, 1353, 789, 578
45, 22199, 0, 0, 2577, 2067, 2767, 1461, 1128
45, 22299, 0, 0, 3777, 3236, 4138, 2223, 1626
45, 22399, 27.266666666666666, 0, 4918, 4375, 5498, 3034, 2175
45, 22499, 29.714285714285715, 0, 6316, 5122, 6973, 3578, 3011
46, 22599, 0, 0, 1661, 737, 1589, 728, 285
46, 22699, 0, 0, 3046, 1676, 3239, 1567, 472
46, 22799, 0, 0, 4309, 2655, 4917, 2374, 745
46, 22899, 0, 0, 5499, 3647, 6533, 3302, 1019
46, 22999, 0, 0, 6641, 4666, 8367, 4078, 1248
47, 23099, 0, 0, 1528, 810, 1656, 752, 254
47, 23199, 0, 0, 2790, 1785, 3286, 1512, 627
47, 23299, 0, 0, 3999, 2779, 4821, 2180, 1221
