--------------------------------------------------------------------------------
TIMESTAMP: 08:23:21.995 AM 29-Jun-2022
PARAMS:
  population 0
  wiggle-angle 45
  look-ahead 1
  sniff-threshold 0.9
  sniff-angle 45
  chemical-drop 3
  diffuse-share 1
  evaporation-rate 0.95
  cluster-threshold 25
  cluster-radius 10
  learning-turtles 50
  ticks-per-episode 500
  episodes 1500
  learning-rate 0.1
  discount-factor 0.9
  reward 100
  penalty -1
  e-greedy 0.5 0.9
ACTION SPACE: move-toward-chemical random-walk move-and-drop walk-and-drop drop-chemical
OBSERVATION SPACE: chemical-here in-cluster
REWARD: rewardFunc6
--------------------------------------------------------------------------------
Episode, Tick, Avg cluster size X tick, Avg reward X episode, move-toward-chemical, random-walk, move-and-drop, walk-and-drop, drop-chemical
41, 20499, 0, 0, 6521, 3310, 6907, 3335, 4927
42, 20599, 0, 0, 1340, 536, 1307, 531, 1286
42, 20699, 26, 0, 2452, 1060, 2404, 1374, 2710
42, 20799, 0, 0, 3566, 1472, 3393, 2331, 4238
42, 20899, 28.5, 0, 4763, 1799, 4474, 3205, 5759
42, 20999, 0, 0, 5870, 2303, 5465, 4157, 7205
43, 21099, 0, 0, 1353, 266, 1468, 707, 1206
43, 21199, 0, 0, 2417, 700, 2771, 1614, 2498
43, 21299, 0, 0, 3311, 1267, 4029, 2401, 3992
43, 21399, 0, 0, 4233, 1824, 5309, 3332, 5302
43, 21499, 0, 0, 5168, 2582, 6474, 4182, 6594
44, 21599, 0, 0, 1118, 653, 1475, 861, 893
44, 21699, 0, 0, 2010, 1477, 2853, 1897, 1763
44, 21799, 0, 0, 2889, 2277, 4267, 2887, 2680
44, 21899, 27, 0, 3650, 3220, 5685, 3901, 3544
44, 21999, 0, 0, 4515, 4149, 7053, 4763, 4520
45, 22099, 0, 0, 1176, 565, 1717, 778, 764
45, 22199, 0, 0, 2248, 1409, 3266, 1476, 1601
45, 22299, 0, 0, 3364, 2213, 4549, 2194, 2680
45, 22399, 0, 0, 4765, 3047, 5728, 2728, 3732
45, 22499, 0, 0, 6170, 3867, 7023, 3262, 4678
46, 22599, 0, 0, 1528, 638, 1433, 484, 917
46, 22699, 0, 0, 2723, 1497, 2625, 1247, 1908
46, 22799, 0, 0, 4148, 2329, 3604, 1953, 2966
46, 22899, 0, 0, 5751, 3100, 4577, 2597, 3975
46, 22999, 0, 0, 7361, 3866, 5552, 3243, 4978
47, 23099, 0, 0, 1750, 668, 1185, 562, 835
47, 23199, 0, 0, 3481, 1514, 2152, 1205, 1648
47, 23299, 0, 0, 5311, 2315, 3097, 1767, 2510
47, 23399, 0, 0, 7086, 3148, 4043, 2346, 3377
47, 23499, 0, 0, 8817, 3983, 5057, 2865, 4278
48, 23599, 0, 0, 1909, 668, 1211, 385, 827
48, 23699, 0, 0, 3700, 1711, 2016, 909, 1664
48, 23799, 0, 0, 5314, 2713, 2806, 1534, 2633
48, 23899, 0, 0, 6984, 3658, 3642, 2177, 3539
48, 23999, 0, 0, 8602, 4618, 4600, 2743, 4437
49, 24099, 0, 0, 1927, 734, 1153, 428, 758
49, 24199, 26, 0, 3682, 1661, 2120, 822, 1715
49, 24299, 0, 0, 5372, 2476, 3075, 1320, 2757
49, 24399, 0, 0, 6935, 3340, 4111, 1800, 3814
49, 24499, 0, 0, 8435, 4287, 5112, 2308, 4858
50, 24599, 0, 0, 1678, 812, 1220, 437, 853
50, 24699, 0, 0, 3319, 1753, 2294, 1072, 1562
50, 24799, 0, 0, 4918, 2793, 3329, 1677, 2283
50, 24899, 27.666666666666668, 0, 6516, 3826, 4322, 2331, 3005
50, 24999, 26, 0, 7982, 4821, 5341, 3071, 3785
51, 25099, 0, 0, 1951, 617, 1262, 614, 556
51, 25199, 0, 0, 3666, 1642, 2327, 1185, 1180
51, 25299, 26.923076923076923, 0, 5022, 2795, 3339, 1979, 1865
51, 25399, 27.40909090909091, 0, 6117, 4009, 4130, 2837, 2907
51, 25499, 27.333333333333332, 0, 7366, 5088, 4808, 3610, 4128
52, 25599, 0, 0, 1855, 719, 1339, 670, 417
52, 25699, 0, 0, 3719, 1564, 2648, 1393, 676
52, 25799, 0, 0, 5340, 2474, 4002, 2164, 1020
52, 25899, 26.4, 0, 6787, 3479, 5121, 3123, 1490
52, 25999, 27.5, 0, 8009, 4511, 6134, 4136, 2210
53, 26099, 0, 0, 1836, 728, 1447, 660, 329
53, 26199, 0, 0, 3350, 1614, 2863, 1551, 622
53, 26299, 0, 0, 4795, 2408, 4310, 2421, 1066
53, 26399, 26, 0, 6239, 3116, 5857, 3217, 1571
53, 26499, 0, 0, 7510, 3947, 7416, 4040, 2087
54, 26599, 0, 0, 1554, 739, 1543, 706, 458
54, 26699, 0, 0, 2897, 1376, 2906, 1837, 984
54, 26799, 29.142857142857142, 0, 3819, 2222, 4017, 3190, 1752
54, 26899, 28.523809523809526, 0, 4762, 3120, 4949, 4518, 2651
54, 26999, 0, 0, 5748, 3917, 5920, 5886, 3529
55, 27099, 0, 0, 1528, 391, 1654, 1003, 424
55, 27199, 0, 0, 2873, 837, 3219, 2162, 909
55, 27299, 0, 0, 4167, 1327, 4703, 3353, 1450
55, 27399, 0, 0, 5547, 1773, 6199, 4532, 1949
55, 27499, 0, 0, 6949, 2189, 7704, 5706, 2452
56, 27599, 0, 0, 1686, 323, 1545, 934, 512
56, 27699, 0, 0, 3002, 766, 2819, 2003, 1410
56, 27799, 0, 0, 4179, 1364, 4235, 2869, 2353
56, 27899, 0, 0, 5391, 1981, 5654, 3636, 3338
56, 27999, 0, 0, 6492, 2738, 7114, 4332, 4324
57, 28099, 0, 0, 1413, 624, 1571, 428, 964
57, 28199, 0, 0, 2579, 1294, 3097, 1083, 1947
57, 28299, 30.272727272727273, 0, 3445, 2177, 4642, 1922, 2814
57, 28399, 30.727272727272727, 0, 4325, 3360, 5451, 2937, 3927
57, 28499, 27.666666666666668, 0, 5152, 4375, 6545, 3891, 5037
58, 28599, 0, 0, 1255, 655, 1684, 746, 660
58, 28699, 0, 0, 2327, 1534, 3170, 1652, 1317
58, 28799, 0, 0, 3275, 2287, 4714, 2666, 2058
58, 28899, 26, 0, 4101, 3236, 6254, 3724, 2685
58, 28999, 27.333333333333332, 0, 4834, 4275, 7637, 4933, 3321
59, 29099, 0, 0, 1183, 660, 1746, 863, 548
59, 29199, 0, 0, 2129, 1472, 3492, 1860, 1047
59, 29299, 26, 0, 2964, 2232, 5433, 2791, 1580
